"Meslek","Şehir","Nitelikler"
"Dijital Teknolojiler ve İş Analitikleri Analisti","İstanbul","SAP BW on HANA ve SAP BusinessObjects alanlarında (tercihen danışman olarak) tecrübesi bulunan, Tercihen SAP Analytics Cloud, QlikView, Tibco Spotfire, Tableau veya Microsoft Power BI gibi yeni nesil iş zekâsı araçları konusunda bilgi sahibi, Veri analizi, veri tabanı tasarımı, sorgu optimizasyonu ve veri tabanı yönetimi araçları konusunda tecrübesi olan, SAP FI, MM, SD, BPC ve HR modüllerinin verisini kullanarak raporlar geliştirmiş, Tercihen ABAP tecrübesi olan, İlgili alanda minimum 7 yıl tecrübe sahibi, Alanındaki teknolojik gelişmeleri takip eden, İç müşteri ihtiyaçları doğrultusunda çözüm üretebilecek, İleri derecede İngilizce bilen, Yurtiçi ve yurtdışı seyahat engeli bulunmayan, Erkek adaylar için askerlik görevini tamamlamış    İŞ TANIMI Üst yönetimin ve iş birimlerinin rapor ve dashboard taleplerinin karşılanması sürecinin uçtan uca (analiz, tasarım, veri entegrasyonu, rapor/dashboard geliştirme, birim test, dokümantasyon) yürütülmesi, Dış kaynakların ve çıktıların sürdürülebilirliği ile kalitesinin yönetimi, Grup şirketlerindeki ilgili birimler ile iletişimin sağlanması, Mevcut yapılar için istenen değişiklik taleplerinin ve bakımlarının gerçekleştirilmesi Aktif rapor envanterinin düzenli olarak bakımının gerçekleştirilmesi, "
"GTech Büyük Veri Akademisi","İstanbul","GTECH BÜYÜK VERİ AKADEMİSİ     Teknoloji dünyasında 20 yıllık tecrübesi ile Büyük Veri, İş Zekası, İleri Analitik gibi alanlarda yetkin ekipleriyle müşterilerine yaratıcı çözümler ve hizmetler sunan GTech geleceğin teknoloji mimarlarının gelişimine destek veriyor.     Ücretsiz sunulan online uygulamalı eğitimleri başarı ile tamamlayın GTech’de kariyer fırsatı yakalayın!     Yeni nesillere verdiği eğitim desteklerine devam eden GTech Büyük Veri Eğitim Programı açıyor. Eğitimi tamamlayan öğrencilere katılım sertifikası verilecek ayrıca yüksek başarı gösterenlere de iş fırsatları sunulacaktır.     Kullanılan Teknolojiler;  "
"İş Zekası Uygulama ve Geliştirme Analisti","İstanbul","   Şirketimizin Satış Destek Grubunda yer alan İş Zekası Araçları ve Raporları Birimi içerisinde iş birimlerinden gelen dataların ve raporlama ihtiyaçlarının karşılanması ve analizinin yapılması , raporlanması süreçlerini yürütmek üzere aşağıdaki niteliklere sahip İş Zekası Uygulama ve Geliştirme Analisti arayışımız bulunmaktadır.     GENEL NİTELİKLER     · Üniversitelerin Bilgisayar Mühendisliği, Elektronik Mühendisliği, Matematik Mühendisliği, Matematik, İstatistik bölümlerinden mezun,  · Veri analizi, veri görselleştirme,  iş zekası ve raporlama  alanlarından birinde en az 3 yıl deneyimli,  · En az bir iş zekası ürünü ile çalışmış (Tercihen Oracle İş Zekası uygulaması OBI 12C tecrübesi olan),  · ETL, ODI bilgisi olan (Tercihen Oracle Data Integrator (ODI) başta olmak üzere ETL / ELT araçları konusunda tecrübeli)  · İyi derecede SQL bilgisi olan,  "
"GTech Veri Teknolojileri Akademisi","İstanbul","GTECH VERİ TEKNOLOJİLERİ AKADEMİSİ     Teknoloji dünyasında 20 yıllık tecrübesi ile İş Zekası, Veri Ambarı, Veritabanı, İleri Analitik, Büyük Veri gibi alanlarda yetkin ekipleri ile müşterilerine yaratıcı çözümler ve hizmetler sunan GTech geleceğin teknoloji mimarlarının gelişimine destek veriyor.     Ücretsiz sunulan online uygulamalı eğitimleri başarı ile tamamlayın GTech’de kariyer fırsatı yakalayın!     Yeni nesillere verdiği eğitim desteklerine devam eden GTech Veri Teknolojileri online eğitim programı açıyor. Eğitimi tamamlayan öğrencilere katılım sertifikası verilecek ayrıca yüksek başarı gösterenlere de iş fırsatları sunulacaktır.     Kullanılan Teknolojiler; "
"Kıdemli Mobil Yazılım Geliştirme Uzmanı","Ankara"," "
"Teknoloji Çözümleri Bölüm Müdürü","İstanbul","Asaş Bilgi Sistemleri Direktörlüğü bünyesinde görev alacak Teknoloji Çözümleri Bölüm Müdürü arayışımız bulunmaktadır.   Adaylardan beklenen kriterler aşağıdaki gibidir:  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programcılığı, Fizik, Matematik, Bilgisayar Teknolojileri bölümlerinden lisans mezunu, Veri tabanı yönetimi, Network, Güvenlik, Yazılım, Sunucu Sistemleri, İşletim Sistemleri, Sanal Sistemler alanlarında 10 yıl tecrübeli, Bilgi işlem departmanlarında min. 5 yıl yöneticilik deneyimine sahip ve ekip yönetme tecrübesi bulunan,  Takım çalışmasına yatkın, iletişimi kuvvetli,  Raporlama ve Dokümantasyon konularında özenli,  ISO 27001 ve diğer Bilgi Güvenliği standartları ve pratikleri konusunda bilgili ve uygulamalarında tecrübe sahibi,  İyi derecede İngilizce dil bilgisine sahip ve aktif olarak konuşabilen,  Erkek adaylar için askerlik ile ilişiği bulunmayan.    "
"Yazılım Test Kıdemli Mühendisi","Ankara","Yazılım bilen (C/C++, Java, Python3, vb.), Test konusunda  bilgi sahibi (tercihen ISTQB FL, ISTQB Advanced Level, ...) Test otomasyonu konusunda tercihen en az 3 yıl tecrübeli, Algoritma ve kombinasyon oluşturma konusunda bilgi sahibi, Test alanında kariyer hedefi bulunan, Güvenli Belgesi'ne sahip olmak için engeli bulunmayan (Tercihen Güvenlik Belgesi'ne sahip), İyi seviyede İngilizce bilen, Analitik düşünebilen, problem çözmeyi seven,  Detaycı, dikkatli, öğrenmeye açık, İletişim becerileri yüksek, Seyahat engeli bulunmayan, Erkek adaylar için; askerlik hizmetini tamamlamış.     İŞ TANIMI:    "
"Yazılım Mühendisi"," ","Odağımızda Büyüme Var...  Dünyanın en büyük yakıt istasyonları ekipmanları üreticilerinden biri olarak sektörün yerel liderliği bize yetmiyor.  Kurulduğundan bu yana Teknolojik ve Yenilikçili çalışmaların odağına koymuş MEPSAN,  25. yılında; Türkiye dahil 10 ülkede pazar lideri, 65'in üzerinde ülkeye ihracat yapan bir Türk markasıdır.  Türkiye yakıt ekipmanları pazarının lider tedarikçisi MEPSAN 60.000 m2'lik üretim tesisi ile faaliyetlerini her yıl büyüterek sürdürüyor.  Çeyrek asır önce yola çıktığı ilk günden bu yana gücünü inovasyon,teknoloji,tasarım ve Ar-Ge'den alan MEPSAN, Türkiye'nin sayılı Ar-Ge merkezlerinden biri olan MEPSAN AR-GE MERKEZİile yenilikçi teknolojiler üretmektedir.  Mühendislik ve teknoloji odaklı yaklaşımımızla ürün geliştirmeden, Satış Sonrası hizmetlere entegre ve hızlı çözümlerimizle ülkemizin her yerinde yakıt yönetimine ihtiyaç duyan herkese ulaşmak istiyoruz.  Sektöründe lider, akaryakıt istasyonları için yenilikçi, teknolojik ürünler üreten ve geliştiren, yurtiçi ve yurtdışına yönelik enerji sektöründe faaliyet gösteren firmamızın, Bilgi Teknolojileri  bünyesinde görev alacak''Yazılım Mühendisi ''takım arkadaşları arıyoruz.  GENEL NİTELİKLER  Üniversite Mezunu, (Tercihen Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilişim Sistemleri Mühendisliği veya Elektrik-Elektronik Mühendisliği bölümlerinden mezun), Yazılım projelerinde (Tercihen ödeme sistemleri, Yazarkasa POS sistemleri ) rol almış ve konusunda en az 3 yıl deneyimi bulunan "
"Java Yazılım Uzmanı","Ankara","·        -En az 4 yıllık eğitim veren fakültelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar ve Yazılım Mühendisliği, Yönetim Bilişim Sistemleri, Elektronik Mühendisliği, Endüstri Mühendisliği, Endüstri ve Sistem Mühendisliği, Elektronik ve Haberleşme Mühendisliği bölümlerinden mezun olmak, veya yukarıdaki bölümlere denkliği yetkili makamca onaylanan yabancı okullardan mezun olmak,  ·         -Mezuniyet sonrası en az 3 yılı java ile uygulama geliştirdiğini belgelemek ve en az 5 yıllık iş tecrübesine sahip olmak,  ·         -Java konusunda bilgi ve deneyim sahibi ve web projesi geliştirmiş olmak,  ·         -Web servisler, SOAP, REST, WCF gibi teknolojiler hakkında bilgi sahibi olmak,  ·         -Web teknolojileri (HTML, CSS, Javascript, AJAX, JQuery) konularında çalışmış,  ·         -Yazılım yaşam döngüsü ve güvenli yazılım geliştirme konularında bilgi sahibi olmak,  ·         -Veri tabanı tasarımı, optimizasyon ve performans artırımı konusunda tecrübe sahibi olmak,  ·         -İlişkisel veritabanlarında tecrübe sahibi olmak  ·         -Application Server mimarisinde bilgi sahibi olmak tercihen [Tomcat, Jboss, was,Spring Boot]  ·        - TFS, Git gibi versiyonlama sistemleri hakkında bilgi sahibi olmak  "
"İş Analisti","İstanbul"," "
"Veri Bütünlüğü Teknik Uzmanı","Kırklareli","   Üniversitelerin Elektrik Mühendisliği, Elektronik Mühendisliği, Elektrik-Elektronik Mühendisliği, Bilgisayar Mühendisliği, Mekatronik Mühendisliği bölümlerinden mezun,  SAP PM, PLC, PC, Software, Back-up, Endüstriyel Sensörler ve HMI panel konularına hakim,   İleri seviyede İngilizce bilen,  Analitik düşünme, proaktif davranış sergileme ve etkin problem çözme becerilerine sahip,   Dinamik ve motive takım oyuncusu,  Hedef odaklı,  İletişimi kuvvetli, ekip çalışmasına yatkın.  İŞ TANIMI  "
"Süreç & Proses Geliştirme Yöneticisi","İstanbul","Lastik sektöründe faaliyet göstermekte olan firmamızın Proje Yönetim Ofisi'nde (PYO) görevlendirilmek üzere, aşağıdaki nitelik ve tanıma uygun, Süreç & Proses Geliştirme Yöneticisi arıyoruz;    NİTELİKLER  Üniversitelerin Endüstri Mühendisliği, Bilgisayar Mühendisliği, Matematik Mühendisliği, İşletme Mühendisliği, Yönetim Bilişim Sistemleri vb. teknik bölümlerinden mezun Süreç analizi, geliştirme, modelleme ve kurumsal iş akışları konusunda en az 7 yıl tecrübeli Uçtan uca süreç modelleme projelerinde tam zamanlı çalışmış ve tecrübeli Finansal Uygulamalar, Lojistik Uygulamalar ve İnsan Kaynakları Uygulamalarında süreç bilgisine sahip Yeni teknoloji ve trendlerin, kurum süreçlerinde konumlandırılmasında araştırmacı ve çözüm alternatifi olarak getiren Temel programlama mantığına hakim; Database, table, field, primary key, uniqueness, index, relation, sync/async kavramları konusunda yorum yapabilen Tercihen SQL bilgisi olan MS Office programlarını iyi düzeyde ve etkin kullanabilen İfade, ikna yeteneği ve liderlik vasıfları gelişmiş Analitik, sonuç ve çözüm odaklı, ekip çalışmasında uyumlu ve pratik Kavacık’ta bulunan genel merkezimize ulaşım sorunu olmayan     İŞ TANIMI "
"Süreç & Proses Geliştirme Uzmanı","İstanbul","Lastik sektöründe faaliyet göstermekte olan firmamızın Proje Yönetim Ofisi (PYO) görevlendirilmek üzere, aşağıdaki nitelik ve tanıma uygun,Süreç & Proses Geliştirme Uzmanıarıyoruz;   NİTELİKLER  Üniversitelerin Endüstri Mühendisliği, Bilgisayar Mühendisliği, Matematik Mühendisliği, İşletme Mühendisliği, Yönetim Bilişim Sistemleri vb. teknik bölümlerinden mezun Süreç analizi, geliştirme, modelleme ve kurumsal iş akışları konusunda en az 3 yıl tecrübeli Uçtan uca süreç modelleme projelerinde tam zamanlı çalışmış ve tecrübeli Finansal Uygulamalar, Lojistik Uygulamalar ve İnsan Kaynakları Uygulamalarında süreç bilgisine sahip Yeni teknoloji ve trendlerin, kurum süreçlerinde konumlandırılmasında araştırmacı ve çözüm alternatifi olarak getiren Temel programlama mantığına hakim; Database, table, field, primary key, uniqueness, index, relation, sync/async kavramları konusunda yorum yapabilen Tercihen SQL bilgisi olan MS Office programlarını iyi düzeyde ve etkin kullanabilen İfade, ikna yeteneği ve liderlik vasıfları gelişmiş Analitik, sonuç ve çözüm odaklı, ekip çalışmasında uyumlu ve pratik Kavacık’ta bulunan genel merkezimize ulaşım sorunu olmayan     İŞ TANIMI  "
"Yazılım Test Mühendisi","Ankara","Yazılım test mühendisliği konusunda kendisini geliştirmeye istekli takım arkadaşları arıyoruz.      Başvurular 3 kategoride değerlendirilecektir:  0-2 yıl tecrübeli test mühendisi  2-5 yıl tecrübeli kıdemli test mühendisi  5+ yıl tecrübeli uzman test mühendisi  Üniversitelerin  Bilgisayar Mühendisliği, Yazılım Mühendisliği, Elektrik Elektronik Mühendisliği ve ilgili diğer teknik bölümlerinden mezun CMMI for Development, MIL-STD, ISO 12207 model ve standartlarında bilgi ve tecrübe sahibi,  Yazılım test süreçleri ve metotları konusunda tecrübe sahibi Test betikleri yazabilecek derecede kodlama tecrübesi olan Araştırmaya meraklı, yenilikçi Çok kültürlü çalışma ortamlarına çabuk adapte olup, etkin çalışabilen "
"Yazılım Mühendisi","İstanbul"," "
"SAP ABAP Uzmanı","İstanbul","Genel Nitelikler:  • Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği, Yazılım Mühendisliği vb. bölümlerinden mezun,   • ABAP programlama dilinde en az iki yıl deneyimli,  • Smart Forms, SAP Script, BADI, BAPI, User- Exit, Enhancement, Batch Input, Idoc, FC, ALE, EDI, ALV konularında bilgili,  • Tercihen S/4 Hana konusunda bilgi sahibi,  • Tercihen C# veya Java da uygulama geliştirmiş olmak,  • Tercihen eBA iş akışı yönetimi uygulamasında tecrübe sahibi,  • Web Servisleri konusunda bilgi sahibi olmak (SOAP, REST, XML-RPC),  • Object Oriented Programlama metadolojilerine hakim olmak,  • Teknolojik yenilikleri takip eden, öğrenmeye ve geliştirmeye açık, "
"Dijital Teknolojiler ve İş Analitikleri Analisti","İstanbul","SAP BW on HANA ve SAP BusinessObjects alanlarında (tercihen danışman olarak) tecrübesi bulunan, Tercihen SAP Analytics Cloud, QlikView, Tibco Spotfire, Tableau veya Microsoft Power BI gibi yeni nesil iş zekâsı araçları konusunda bilgi sahibi, Veri analizi, veri tabanı tasarımı, sorgu optimizasyonu ve veri tabanı yönetimi araçları konusunda tecrübesi olan, SAP FI, MM, SD, BPC ve HR modüllerinin verisini kullanarak raporlar geliştirmiş, Tercihen ABAP tecrübesi olan, İlgili alanda minimum 7 yıl tecrübe sahibi, Alanındaki teknolojik gelişmeleri takip eden, İç müşteri ihtiyaçları doğrultusunda çözüm üretebilecek, İleri derecede İngilizce bilen, Yurtiçi ve yurtdışı seyahat engeli bulunmayan, Erkek adaylar için askerlik görevini tamamlamış    İŞ TANIMI Üst yönetimin ve iş birimlerinin rapor ve dashboard taleplerinin karşılanması sürecinin uçtan uca (analiz, tasarım, veri entegrasyonu, rapor/dashboard geliştirme, birim test, dokümantasyon) yürütülmesi, Dış kaynakların ve çıktıların sürdürülebilirliği ile kalitesinin yönetimi, Grup şirketlerindeki ilgili birimler ile iletişimin sağlanması, Mevcut yapılar için istenen değişiklik taleplerinin ve bakımlarının gerçekleştirilmesi Aktif rapor envanterinin düzenli olarak bakımının gerçekleştirilmesi, "
"Software Specialist","İstanbul","GENEL NİTELİKLER VE İŞ TANIMI  ·         Yazılım sektöründe uzmanlaşmış genç ve dinamik bir kadro ile kurulan DataLiva Bilişim Hizmetleri A.Ş. “Kurumsal Performans Yönetim (CPM)”, “İş Zekası ve Raporlama” ve “Yapay Zeka Veri Analizi” sektörün ihtiyaçlarına yönelik en güçlü yazılımları geliştirerek, en doğru çözümleri minimum sürede vermeyi kendine hedef edinmiştir.  ·         LivaBudget & LivaClick.      Üniversitelerin, Bilgisayar Mühendisliği, Yazılım Mühendisliği, Matematik Mühendisliği,  Benzer pozisyonda en az 4 yıllık iş deneyimine sahip,  Web tabanlı uygulamalarda deneyim sahibi,  Microsoft SQL veritabanı konularında tecrübeli,  C# ve ASP.NET MVC, Web API konusunda tecrübeli,  C# ve ASP.NET Core MVC konusunda tecrübeli,  "
"İş Zekası Uygulama ve Geliştirme Analisti","İstanbul","   Şirketimizin Satış Destek Grubunda yer alan İş Zekası Araçları ve Raporları Birimi içerisinde iş birimlerinden gelen dataların ve raporlama ihtiyaçlarının karşılanması ve analizinin yapılması , raporlanması süreçlerini yürütmek üzere aşağıdaki niteliklere sahip İş Zekası Uygulama ve Geliştirme Analisti arayışımız bulunmaktadır.     GENEL NİTELİKLER     · Üniversitelerin Bilgisayar Mühendisliği, Elektronik Mühendisliği, Matematik Mühendisliği, Matematik, İstatistik bölümlerinden mezun,  · Veri analizi, veri görselleştirme,  iş zekası ve raporlama  alanlarından birinde en az 3 yıl deneyimli,  · En az bir iş zekası ürünü ile çalışmış (Tercihen Oracle İş Zekası uygulaması OBI 12C tecrübesi olan),  · ETL, ODI bilgisi olan (Tercihen Oracle Data Integrator (ODI) başta olmak üzere ETL / ELT araçları konusunda tecrübeli)  · İyi derecede SQL bilgisi olan,  "
"GTech Büyük Veri Akademisi","İstanbul","GTECH BÜYÜK VERİ AKADEMİSİ     Teknoloji dünyasında 20 yıllık tecrübesi ile Büyük Veri, İş Zekası, İleri Analitik gibi alanlarda yetkin ekipleriyle müşterilerine yaratıcı çözümler ve hizmetler sunan GTech geleceğin teknoloji mimarlarının gelişimine destek veriyor.     Ücretsiz sunulan online uygulamalı eğitimleri başarı ile tamamlayın GTech’de kariyer fırsatı yakalayın!     Yeni nesillere verdiği eğitim desteklerine devam eden GTech Büyük Veri Eğitim Programı açıyor. Eğitimi tamamlayan öğrencilere katılım sertifikası verilecek ayrıca yüksek başarı gösterenlere de iş fırsatları sunulacaktır.     Kullanılan Teknolojiler;  "
"GTech Veri Teknolojileri Akademisi","İstanbul","GTECH VERİ TEKNOLOJİLERİ AKADEMİSİ     Teknoloji dünyasında 20 yıllık tecrübesi ile İş Zekası, Veri Ambarı, Veritabanı, İleri Analitik, Büyük Veri gibi alanlarda yetkin ekipleri ile müşterilerine yaratıcı çözümler ve hizmetler sunan GTech geleceğin teknoloji mimarlarının gelişimine destek veriyor.     Ücretsiz sunulan online uygulamalı eğitimleri başarı ile tamamlayın GTech’de kariyer fırsatı yakalayın!     Yeni nesillere verdiği eğitim desteklerine devam eden GTech Veri Teknolojileri online eğitim programı açıyor. Eğitimi tamamlayan öğrencilere katılım sertifikası verilecek ayrıca yüksek başarı gösterenlere de iş fırsatları sunulacaktır.     Kullanılan Teknolojiler; "
"Veri Analitiği ve İş Zekası Uzman Yardımcısı","İstanbul","Takımımızın İnci'si olmak ister misiniz?  Karaca Şirketler Grubu Teknoloji Şirketi M.A.R.S. Teknoloji'nin İstanbul Üniversitesi Avcılar Teknokent yerleşkesinde görev alacak;  Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği, İşletme Mühendisliği ya da İstatistik bölümlerinden mezun,  Microsoft  SSIS, SSAS, SSRS, Power BI bilgisi olan, Tercihen ERP ve CRM bilgisi olan, Yeni teknolojileri öğrenmeye hevesli, araştırmacı,  Analitik düşünce yeteneğine sahip, çözüm odaklı,  İyi derecede İngilizce bilen,  Avrupa yakasında ikamet eden, Erkek adaylar için askerlik hizmetini tamamlamış.     ''Veri Analitiği ve İş Zekası Uzman Yardımcısı'' arayışımız bulunmaktadır.    "
"Kıdemli Mobil Yazılım Geliştirme Uzmanı","Ankara"," "
"Servis Yönetimi Ekip Lideri (Msp/Mssp/Itsm)","İstanbul","Danışmanlığını yürütmekte olduğumuz, Bilgi Teknolojileri ve Siber Güvenlik alanlarında faaliyet gösteren firmamız için aşağıdaki nitelik ve yetkinliklere sahip Servis Yönetimi Ekip Lideri (MSP/MSSP/ITSM), arayışımız bulunmaktadır.      GENEL NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Bilimleri, Yönetim Bilişim Sistemleri, Elektrik Elektronik Mühendisliği ve benzeri Lisans bölümlerinden mezun, Bilgi Teknolojileri Hizmet Yönetimi/ITSM ve ITIL konusunda bilgili ve tecrübeli. Tercihen ITIL ve/veya COBIT sertifikalarına sahip, Bilgi Teknolojileri ve Siber Güvenlik çözümleri üzerine Üretici, Operasyon Merkezi veya Sistem Entegratörü faaliyetlerini yürüten firmalarda, Teknik Destek ve/veya Hizmet Yönetimi alanında en az 3 yıl sektör tecrübesi sahibi, Sistem ve Network Güvenliği Yönetimi konusunda bilgi ve tecrübe sahibi, Fortinet, Fortigate veya benzer NGFW ve güvenlik çözümleri konusunda bilgi sahibi. Tercihen NSE 4 ve üzeri sertifikalara sahip, Tercihen Microsoft Exchange/Office 365/Microsoft 365 projeleri ile Veri Merkezi ve Bulut Hizmetleri konusunda bilgi ve tecrübe sahibi, Bilgi Teknolojileri Proje Takibi, Koordinasyonu veya Yönetimi konularında bilgili ve tecrübeli, Analitik düşünce ve problem çözme yetkinlikleri ile sonuç odaklı çalışabilen, Ekip çalışmasına yatkın, kişisel gelişimine önem veren ve yeni teknolojileri yakından takip edebilen, Erkek adaylar için askerlik ile ilişiği bulunmayan, İyi derecede İngilizce bilen, B Sınıfı ehliyet sahibi ve seyahat engeli bulunmayan. "
"Yazılım Geliştirme Uzmanı"," ","İleri seviyede C#, Asp.Net, Asp.Net Core, Asp.Net Core Web Api, JavaScript, Ajax, MVC tecrübeye sahip, Şirket için geliştirmekte olduğumuz projemizde React ve Mobx kullanabilecek bilgiye sahip, tecihen Kendo UI ile geliştirme yapmış. T-SQL ve MS-SQL yönetimi hakkında tecrübeli, Entity Framework, katmanlı mimari hakkında tecrübeli, Tecihen Wordpress, hosting ve iis yönetimi hakkında bilgi sahibi, Temel seviyede network hakkında bilgisine sahip,  Tercihen Call Center (ACD/IVR/CTI/Dialer) tecrübesine sahip, Literatürü takip edebilecek seviyede ingilizce bilgisine sahip, En az 2 yıl yazılım geliştirme tecrübesi olan, İletişimi kuvvetli,özgüveni ve çalışma disiplini yüksek,sorumluluk alabilen ve sonuç odaklı, İş kalitesini ön planda tutarak hedef odaklı çalışabilen,  Esnek çalışma saatlerine uygun,       İŞ TANIMI  Net Call Center yönetim,idari birimlerinin ve operasyonların yürüttükleri hizmet süreçlerinde gereksinim duyulan bilgisayar programlarının,  yazılımların ve otomasyon çözümlerini projelendirmek yoluyla bilişim desteği sunmak görev kapsamındadır. "
"Yazılım Destek Uzmanı"," ","1992'den bu yana, bilinen markaların, saha satış verilerine oluştuğu anda ulaşmalarını, Satış, Lojistik ve Servis süreçlerini yönetmelerini sağlayan teknolojik çözümler sunan firmamızın, Yazılım Destek ekibinde görev almak üzere YAZILIM DESTEK UZMANI aramaktayız.   Bilgisayar / Yazılım / Endüstri Mühendisliği, Bilgisayar Teknolojileri Öğretmenliği, Matematik, İstatistik, Bilgisayar Programcılığı veya ilgili teknik bölümlerden mezun Yazılım ve yazılım destek alanında en az 1 yıl deneyimli MS Sql Veritabanına hakim, işletim sistemi ve Muhasebe yazılımları bilgisi olan Tercihen İngilizce bilen Müşteri memnuniyetine önem veren, dinamik ve çözüm odaklı çalışan İletişim becerileri gelişmiş Yurtiçi seyahat engeli olmayan Erkek adaylar için askerliğini yapmış olan ya da askerliği en az 2 yıl tecilli olan    İŞ TANIMI  Müşterilerimizin kullandığı yazılımlarımızda  Müşteri ve rut tanımlama Saha Elemanı tanımlama Ürün Tanımlama "
"Rusça Bilen Yazılım Destek Uzmanı"," ","  Bilgisayar / Yazılım / Endüstri Mühendisliği, Bilgisayar Teknolojileri Öğretmenliği, Matematik, İstatistik, Bilgisayar Programcılığı veya ilgili teknik bölümlerden mezun Yazılım ve yazılım destek alanında en az 1 yıl deneyimli MS Sql Veritabanına hakim, işletim sistemi ve Muhasebe yazılımları bilgisi olan İyi derecede Rusça bilen Tercihen İngilizce bilgisi olan Müşteri memnuniyetine önem veren, dinamik ve çözüm odaklı çalışan İletişim becerileri gelişmiş Yurtiçi ve Yurtdışı seyahat engeli olmayan Erkek adaylar için askerliğini yapmış ya da askerliği en az 2 yıl tecilli olan    İŞ TANIMI Özellikle Rusya ve Türki Cumhuriyetler pazarında faaliyet gösteren müşterilerimizin kullandığı yazılımlarımızda Müşteri ve rut tanımlama Saha Elemanı tanımlama Ürün Tanımlama Sabit ve Dinamik Raporlar altındaki raporlar ile raporlama yapılması Sahada çalışan müşterilerimize yazılımımız ile ilgili destek verilmesi  "
"Aviyonik Yazılım Doğrulama Mühendisi"," ","GENEL NİTELİKLER        Üniversitelerin Elektronik Mühendisliği / Bilgisayar Mühendisliği bölümlerinden mezun olmak,       İyi derecede C/C++ bilmek,       Bilgisayar Destekli Yazılım Mühendisliği gereçleri ile ilgili bilgi ve deneyim sahibi olmak,       Yazılım Doğrulama süreçleri konusunda bilgi ve deneyim sahibi olmak,       İyi derecede İngilizce bilmek       Şahıs Güvenlik Belgesi almaya engeli olmamak,       Erkek adaylar için askerlik görevini tamamlamış ya da uzun süre erteletmiş olmak.  TERCİH NEDENİ OLABİLECEK NİTELİKLER        DO-178B/C konusunda bilgi ve deneyim sahibi olmak,       Gerçek zamanlı işletim sistemleri ve gömülü yazılım alanında deneyim sahibi olmak,             MIL-STD-1553, ARINC 429 ve benzeri aviyonik veri yolu protokolleri hakkında bilgi ve deneyim sahibi olmak.  İŞ TANIMI  Aviyonik yazılımların doğrulanması amacıyla; Yazılım gereksinimlerinin gözden geçirilmesi, "
"Aviyonik Yazılım Geliştirme Mühendisi"," ","GENEL NİTELİKLER        Üniversitelerin Elektronik Mühendisliği / Bilgisayar Mühendisliği bölümlerinden mezun olmak,       İyi derecede C/C++ bilmek,       Bilgisayar Destekli Yazılım Mühendisliği gereçleri ile ilgili bilgi ve deneyim sahibi olmak,       Yazılım Geliştirme süreçleri konusunda bilgi sahibi olmak,       İyi derecede İngilizce bilmek       Şahıs Güvenlik Belgesi almaya engeli olmamak       Erkek adaylar için askerlik görevini tamamlamış ya da uzun süre erteletmiş olmak.  TERCİH NEDENİ OLABİLECEK NİTELİKLER        DO-178B/C konusunda bilgi ve deneyim sahibi olmak,       Gerçek zamanlı işletim sistemleri ile gömülü yazılım alanında deneyim sahibi olmak,       MIL-STD-1553, ARINC 429 ve benzeri aviyonik veri yolu protokolleri hakkında bilgi ve deneyim sahibi olmak,      Coğrafi Bilgi Sistemleri uygulamaları hakkında bilgi sahibi olmak,      OpenGL ile yazılım geliştirmiş olmak.  İŞ TANIMI   "
"Sızma Testi Uzmanı","Ankara","Sızma Testi Uzmanı    Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği, Bilişim Sistemleri vb. bölümlerinden mezun olmak,  Siber Güvenlik alanında en az 1 yıl tecrübe sahibi,  Kuruluşların Siber Güvenlik seviyelerindeki uyumu tespit etmek üzere denetimlerde bulunmuş, Siber Güvenliğin yönetimsel, fiziksel ve teknik perspektiflerine hâkim,  Güvenlik teknolojilerinin seçimi, uygulanması ve yönetimi hakkında deneyim sahibi,  Tercihen TSE Sızma Testi Sertifikası, CEH, OSCP, GPEN, LPT gibi sertfikalardan en az birine sahip olan veya muhadili olan başka bir sertifikaya sahip olan, Proaktif,  Siber Güvenlik gereksinimlerinin tespitinde tecrübe sahibi,  Microsoft Windows sunucu ürünleri/servisleri (Aktif dizin, DHCP, DNS, Exchange, vs)hakkında tecrübe sahibi olan,  Kali, Metasploit, Nmap, Nessus, Burp Suite, sqlmap vb. güvenlik araçlarında deneyim sahibi olan,  Literatürü takip edebilecek düzeyde İngilizce dil bilgisine sahip olan,  Web ve mobil uygulama sızma testlerinin gerçekleşmesinde rol almak,  Elde edilen test bulgularının değerlendirmesini ve raporlamasını yapmak,  Yeni güvenlik çözümlerini araştırmak ve uygulamaya alınmasını sağlamak,  İletişim becerisi yüksek,  Planlama ve koordinasyon becerileri gelişmiş,  Ekip çalışmasına yatkın ve sonuç odaklı çalışabilen,  Seyahat engeli olmayan,  "
